Event;Player;Team;Rating
DreamHack Open Cluj-Napoca 2015;aizy;Dignitas;1.55
DreamHack Open Cluj-Napoca 2015;GuardiaN;Natus Vincere;1.30
DreamHack Open Cluj-Napoca 2015;Snax;Virtus.pro;1.29
DreamHack Open Cluj-Napoca 2015;kennyS;Envy;1.23
DreamHack Open Cluj-Napoca 2015;WorldEdit;FlipSid3;1.22
DreamHack Open Cluj-Napoca 2015;dupreeh;TSM;1.18
DreamHack Open Cluj-Napoca 2015;coldzera;Luminosity;1.18
DreamHack Open Cluj-Napoca 2015;jkaem;G2;1.16
DreamHack Open Cluj-Napoca 2015;NiKo;mousesports;1.16
DreamHack Open Cluj-Napoca 2015;flusha;fnatic;1.15
DreamHack Open Cluj-Napoca 2015;NBK-;Envy;1.14
DreamHack Open Cluj-Napoca 2015;Happy;Envy;1.14
DreamHack Open Cluj-Napoca 2015;KRIMZ;fnatic;1.14
DreamHack Open Cluj-Napoca 2015;shox;Titan;1.12
DreamHack Open Cluj-Napoca 2015;apEX;Envy;1.11
DreamHack Open Cluj-Napoca 2015;f0rest;NiP;1.10
DreamHack Open Cluj-Napoca 2015;seized;Natus Vincere;1.10
DreamHack Open Cluj-Napoca 2015;Furlan;Vexed;1.09
DreamHack Open Cluj-Napoca 2015;cajunb;TSM;1.08
DreamHack Open Cluj-Napoca 2015;RpK;Titan;1.07
DreamHack Open Cluj-Napoca 2015;fox;G2;1.07
DreamHack Open Cluj-Napoca 2015;kioShiMa;Envy;1.07
DreamHack Open Cluj-Napoca 2015;byali;Virtus.pro;1.06
DreamHack Open Cluj-Napoca 2015;dennis;G2;1.06
DreamHack Open Cluj-Napoca 2015;tarik;CLG;1.04
DreamHack Open Cluj-Napoca 2015;fer;Luminosity;1.03
DreamHack Open Cluj-Napoca 2015;nex;mousesports;1.02
DreamHack Open Cluj-Napoca 2015;Xyp9x;TSM;1.02
DreamHack Open Cluj-Napoca 2015;flamie;Natus Vincere;1.02
DreamHack Open Cluj-Napoca 2015;jdm64;CLG;1.02
DreamHack Open Cluj-Napoca 2015;pashaBiceps;Virtus.pro;1.01
DreamHack Open Cluj-Napoca 2015;Zeus;Natus Vincere;1.01
DreamHack Open Cluj-Napoca 2015;chrisJ;mousesports;1.00
DreamHack Open Cluj-Napoca 2015;boltz;Luminosity;0.99
DreamHack Open Cluj-Napoca 2015;GeT_RiGhT;NiP;0.99
DreamHack Open Cluj-Napoca 2015;device;TSM;0.98
DreamHack Open Cluj-Napoca 2015;olofmeister;fnatic;0.98
DreamHack Open Cluj-Napoca 2015;Xizt;NiP;0.98
DreamHack Open Cluj-Napoca 2015;seang@res;Cloud9;0.97
DreamHack Open Cluj-Napoca 2015;friberg;NiP;0.97
DreamHack Open Cluj-Napoca 2015;freakazoid;Cloud9;0.96
DreamHack Open Cluj-Napoca 2015;Maikelele;G2;0.96
DreamHack Open Cluj-Napoca 2015;allu;NiP;0.96
DreamHack Open Cluj-Napoca 2015;karrigan;TSM;0.95
DreamHack Open Cluj-Napoca 2015;Hyper;Vexed;0.95
DreamHack Open Cluj-Napoca 2015;rain;G2;0.93
DreamHack Open Cluj-Napoca 2015;GruBy;Vexed;0.93
DreamHack Open Cluj-Napoca 2015;Edward;Natus Vincere;0.92
DreamHack Open Cluj-Napoca 2015;FNS;CLG;0.92
DreamHack Open Cluj-Napoca 2015;EliGE;Liquid;0.92
DreamHack Open Cluj-Napoca 2015;shroud;Cloud9;0.91
DreamHack Open Cluj-Napoca 2015;steel;Luminosity;0.90
DreamHack Open Cluj-Napoca 2015;FugLy;Liquid;0.90
DreamHack Open Cluj-Napoca 2015;TaZ;Virtus.pro;0.90
DreamHack Open Cluj-Napoca 2015;nitr0;Liquid;0.87
DreamHack Open Cluj-Napoca 2015;NEO;Virtus.pro;0.87
DreamHack Open Cluj-Napoca 2015;adreN;Liquid;0.86
DreamHack Open Cluj-Napoca 2015;n0thing;Cloud9;0.85
DreamHack Open Cluj-Napoca 2015;Skadoodle;Cloud9;0.84
DreamHack Open Cluj-Napoca 2015;pronax;fnatic;0.84
DreamHack Open Cluj-Napoca 2015;bondik;FlipSid3;0.84
DreamHack Open Cluj-Napoca 2015;markeloff;FlipSid3;0.82
DreamHack Open Cluj-Napoca 2015;SmithZz;Titan;0.81
DreamHack Open Cluj-Napoca 2015;reltuC;CLG;0.80
DreamHack Open Cluj-Napoca 2015;Kjaerbye;Dignitas;0.79
DreamHack Open Cluj-Napoca 2015;ScreaM;Titan;0.79
DreamHack Open Cluj-Napoca 2015;denis;mousesports;0.79
DreamHack Open Cluj-Napoca 2015;JW;fnatic;0.77
DreamHack Open Cluj-Napoca 2015;rallen;Vexed;0.77
DreamHack Open Cluj-Napoca 2015;FalleN;Luminosity;0.77
DreamHack Open Cluj-Napoca 2015;peet;Vexed;0.77
DreamHack Open Cluj-Napoca 2015;Hiko;Liquid;0.76
DreamHack Open Cluj-Napoca 2015;Ex6TenZ;Titan;0.74
DreamHack Open Cluj-Napoca 2015;Pimp;Dignitas;0.70
DreamHack Open Cluj-Napoca 2015;hazed;CLG;0.67
DreamHack Open Cluj-Napoca 2015;gob b;mousesports;0.64
DreamHack Open Cluj-Napoca 2015;DavCost;FlipSid3;0.61
DreamHack Open Cluj-Napoca 2015;TENZKI;Dignitas;0.60
DreamHack Open Cluj-Napoca 2015;B1ad3;FlipSid3;0.59
DreamHack Open Cluj-Napoca 2015;MSL;Dignitas;0.41
DreamHack Winter 2013;JW;fnatic;1.26
DreamHack Winter 2013;COLON;Reason;1.25
DreamHack Winter 2013;Snax;UniversalSoldiers;1.22
DreamHack Winter 2013;Hiko;Complexity;1.21
DreamHack Winter 2013;znajder;fnatic;1.20
DreamHack Winter 2013;flusha;fnatic;1.19
DreamHack Winter 2013;Xyp9x;CPH Wolves;1.18
DreamHack Winter 2013;seized;Natus Vincere;1.18
DreamHack Winter 2013;dennis;LGB;1.16
DreamHack Winter 2013;Nico;CPH Wolves;1.14
DreamHack Winter 2013;f0rest;NiP;1.13
DreamHack Winter 2013;SmithZz;VeryGames;1.11
DreamHack Winter 2013;GeT_RiGhT;NiP;1.11
DreamHack Winter 2013;cadiaN;Xapso;1.10
DreamHack Winter 2013;Maniac;Recursive;1.10
DreamHack Winter 2013;n0thing;Complexity;1.10
DreamHack Winter 2013;friberg;NiP;1.10
DreamHack Winter 2013;shox;VeryGames;1.08
DreamHack Winter 2013;Happy;Recursive;1.08
DreamHack Winter 2013;SEMPHIS;Complexity;1.08
DreamHack Winter 2013;AdreN;Astana Dragons;1.07
DreamHack Winter 2013;twist;SK;1.06
DreamHack Winter 2013;EXR;Reason;1.05
DreamHack Winter 2013;dupreeh;CPH Wolves;1.04
DreamHack Winter 2013;olofmeister;LGB;1.04
DreamHack Winter 2013;markeloff;Astana Dragons;1.03
DreamHack Winter 2013;pashaBiceps;UniversalSoldiers;1.03
DreamHack Winter 2013;SKYTTEN;LGB;1.03
DreamHack Winter 2013;Maikelele;LGB;1.02
DreamHack Winter 2013;raalz;n!faculty;1.01
DreamHack Winter 2013;Dosia;Astana Dragons;1.01
DreamHack Winter 2013;apEX;Clan-Mystik;1.01
DreamHack Winter 2013;KQLY;Clan-Mystik;1.01
DreamHack Winter 2013;Xizt;NiP;1.01
DreamHack Winter 2013;NEO;UniversalSoldiers;0.99
DreamHack Winter 2013;FeTiSh;CPH Wolves;0.99
DreamHack Winter 2013;Ex6TenZ;VeryGames;0.97
DreamHack Winter 2013;Fifflaren;NiP;0.96
DreamHack Winter 2013;ANGE1;Astana Dragons;0.96
DreamHack Winter 2013;NBK-;VeryGames;0.93
DreamHack Winter 2013;DaZeD;iBUYPOWER;0.93
DreamHack Winter 2013;kennyS;Recursive;0.93
DreamHack Winter 2013;karrigan;n!faculty;0.92
DreamHack Winter 2013;ScreaM;VeryGames;0.92
