Event;Place;Prize;OtherPrize;Team
ELEAGUE Major 2018;1st;$500,000;Legends;Cloud9
ELEAGUE Major 2018;2nd;$150,000;Legends;FaZe
ELEAGUE Major 2018;3-4th;$70,000;Legends;Natus Vincere
ELEAGUE Major 2018;3-4th;$70,000;Legends;SK
ELEAGUE Major 2018;5-8th;$35,000;Legends;mousesports
ELEAGUE Major 2018;5-8th;$35,000;Legends;fnatic
ELEAGUE Major 2018;5-8th;$35,000;Legends;Quantum Bellator Fire
ELEAGUE Major 2018;5-8th;$35,000;Legends;G2
ELEAGUE Major 2018;9-11th;$8,750;;Vega Squadron
ELEAGUE Major 2018;9-11th;$8,750;;Gambit
ELEAGUE Major 2018;9-11th;$8,750;;Space Soldiers
ELEAGUE Major 2018;12-14th;$8,750;;Astralis
ELEAGUE Major 2018;12-14th;$8,750;;Liquid
ELEAGUE Major 2018;12-14th;$8,750;;BIG
ELEAGUE Major 2018;15-16th;$8,750;;Virtus.pro
ELEAGUE Major 2018;15-16th;$8,750;;North
DreamHack Winter 2013;1st;$100,000;;fnatic
DreamHack Winter 2013;2nd;$50,000;;NiP
DreamHack Winter 2013;3-4th;$22,000;;VeryGames
DreamHack Winter 2013;3-4th;$22,000;;Complexity
DreamHack Winter 2013;5-8th;$10,000;;LGB
DreamHack Winter 2013;5-8th;$10,000;;CPH Wolves
DreamHack Winter 2013;5-8th;$10,000;;Recursive
DreamHack Winter 2013;5-8th;$10,000;;Astana Dragons
DreamHack Winter 2013;9-12th;$2,000;;UniversalSoldiers
DreamHack Winter 2013;9-12th;$2,000;;Reason
DreamHack Winter 2013;9-12th;$2,000;;Clan-Mystik
DreamHack Winter 2013;9-12th;$2,000;;n!faculty
DreamHack Winter 2013;13-16th;$2,000;;SK
DreamHack Winter 2013;13-16th;$2,000;;Natus Vincere
DreamHack Winter 2013;13-16th;$2,000;;Xapso
DreamHack Winter 2013;13-16th;$2,000;;iBUYPOWER
EMS One Katowice 2014;1st;$100,000;;Virtus.pro
EMS One Katowice 2014;2nd;$50,000;;NiP
EMS One Katowice 2014;3-4th;$22,000;;Dignitas
EMS One Katowice 2014;3-4th;$22,000;;LGB
EMS One Katowice 2014;5-8th;$10,000;;fnatic
EMS One Katowice 2014;5-8th;$10,000;;LDLC
EMS One Katowice 2014;5-8th;$10,000;;HellRaisers
EMS One Katowice 2014;5-8th;$10,000;;Complexity
EMS One Katowice 2014;9-12th;$2,000;;Clan-Mystik
EMS One Katowice 2014;9-12th;$2,000;;Reason
EMS One Katowice 2014;9-12th;$2,000;;3DMAX
EMS One Katowice 2014;9-12th;$2,000;;Titan
EMS One Katowice 2014;13-16th;$2,000;;mousesports
EMS One Katowice 2014;13-16th;$2,000;;Vox Eminor
EMS One Katowice 2014;13-16th;$2,000;;Natus Vincere
EMS One Katowice 2014;13-16th;$2,000;;iBUYPOWER
MLG Columbus 2016;1st;$500,000;;Luminosity
MLG Columbus 2016;2nd;$125,000;;Natus Vincere
MLG Columbus 2016;3-4th;$70,000;;Liquid
MLG Columbus 2016;3-4th;$70,000;;Astralis
MLG Columbus 2016;5-8th;$35,000;;CLG
MLG Columbus 2016;5-8th;$35,000;;fnatic
MLG Columbus 2016;5-8th;$35,000;;NiP
MLG Columbus 2016;5-8th;$35,000;;Virtus.pro
MLG Columbus 2016;9-12th;$8,750;;Gambit
MLG Columbus 2016;9-12th;$8,750;;mousesports
MLG Columbus 2016;9-12th;$8,750;;FaZe
MLG Columbus 2016;9-12th;$8,750;;G2
MLG Columbus 2016;13-16th;$8,750;;Cloud9
MLG Columbus 2016;13-16th;$8,750;;Envy
MLG Columbus 2016;13-16th;$8,750;;Splyce
MLG Columbus 2016;13-16th;$8,750;;FlipSid3
DreamHack Winter 2014;1st;$100,000;;LDLC
DreamHack Winter 2014;2nd;$50,000;;NiP
DreamHack Winter 2014;3-4th;$22,000;;Virtus.pro
DreamHack Winter 2014;3-4th;$22,000;;Natus Vincere
DreamHack Winter 2014;5-8th;$10,000;;HellRaisers
DreamHack Winter 2014;5-8th;$10,000;;PENTA
DreamHack Winter 2014;5-8th;$10,000;;Dignitas
DreamHack Winter 2014;5-8th;$10,000;;fnatic
DreamHack Winter 2014;9-12th;$2,000;;iBUYPOWER
DreamHack Winter 2014;9-12th;$2,000;;ESC
DreamHack Winter 2014;9-12th;$2,000;;Cloud9
DreamHack Winter 2014;9-12th;$2,000;;FlipSid3
DreamHack Winter 2014;13-16th;$2,000;;CPH Wolves
DreamHack Winter 2014;13-16th;$2,000;;Bravado
DreamHack Winter 2014;13-16th;$2,000;;myXMG
DreamHack Winter 2014;13-16th;$2,000;;Planetkey
IEM Katowice 2019;1st;$500,000;Legends;Astralis
IEM Katowice 2019;2nd;$150,000;Legends;ENCE
IEM Katowice 2019;3-4th;$70,000;Legends;Natus Vincere
IEM Katowice 2019;3-4th;$70,000;Legends;MIBR
IEM Katowice 2019;5-8th;$35,000;Legends;NiP
IEM Katowice 2019;5-8th;$35,000;Legends;Renegades
IEM Katowice 2019;5-8th;$35,000;Legends;FaZe
IEM Katowice 2019;5-8th;$35,000;Legends;Liquid
IEM Katowice 2019;9-11th;$8,750;Challengers;Cloud9
IEM Katowice 2019;9-11th;$8,750;Challengers;AVANGAR
IEM Katowice 2019;9-11th;$8,750;Challengers;Vitality
IEM Katowice 2019;12-14th;$8,750;Challengers;Complexity
IEM Katowice 2019;12-14th;$8,750;Challengers;HellRaisers
IEM Katowice 2019;12-14th;$8,750;Challengers;G2
IEM Katowice 2019;15-16th;$8,750;;NRG
IEM Katowice 2019;15-16th;$8,750;;BIG
ESL One Cologne 2014;1st;$100,000;;NiP
ESL One Cologne 2014;2nd;$50,000;;fnatic
ESL One Cologne 2014;3-4th;$22,000;;Dignitas
ESL One Cologne 2014;3-4th;$22,000;;LDLC
ESL One Cologne 2014;5-8th;$10,000;;Cloud9
ESL One Cologne 2014;5-8th;$10,000;;Virtus.pro
ESL One Cologne 2014;5-8th;$10,000;;Epsilon
ESL One Cologne 2014;5-8th;$10,000;;Natus Vincere
ESL One Cologne 2014;9-12th;$2,000;;Titan
ESL One Cologne 2014;9-12th;$2,000;;iBUYPOWER
ESL One Cologne 2014;9-12th;$2,000;;CPH Wolves
ESL One Cologne 2014;9-12th;$2,000;;HellRaisers
ESL One Cologne 2014;13-16th;$2,000;;Wolves
ESL One Cologne 2014;13-16th;$2,000;;London Conspiracy
ESL One Cologne 2014;13-16th;$2,000;;dAT
ESL One Cologne 2014;13-16th;$2,000;;Vox Eminor
StarLadder Major Berlin 2019;1st;$500,000;Legends;Astralis
StarLadder Major Berlin 2019;2nd;$150,000;Legends;AVANGAR
