Event;Nationality;NumberOfPlayers
DreamHack Open Cluj-Napoca 2015;US;13
DreamHack Open Cluj-Napoca 2015;SE;11
DreamHack Open Cluj-Napoca 2015;DK;10
DreamHack Open Cluj-Napoca 2015;PL;10
DreamHack Open Cluj-Napoca 2015;FR;8
DreamHack Open Cluj-Napoca 2015;BR;5
DreamHack Open Cluj-Napoca 2015;UA;5
DreamHack Open Cluj-Napoca 2015;RU;4
DreamHack Open Cluj-Napoca 2015;DE;3
DreamHack Open Cluj-Napoca 2015;BE;2
DreamHack Open Cluj-Napoca 2015;CA;2
DreamHack Open Cluj-Napoca 2015;NO;2
DreamHack Open Cluj-Napoca 2015;BA;1
DreamHack Open Cluj-Napoca 2015;FI;1
DreamHack Open Cluj-Napoca 2015;NL;1
DreamHack Open Cluj-Napoca 2015;PT;1
DreamHack Open Cluj-Napoca 2015;SK;1
DreamHack Winter 2013;SE;20
DreamHack Winter 2013;DK;17
DreamHack Winter 2013;FR;12
DreamHack Winter 2013;US;8
DreamHack Winter 2013;PL;5
DreamHack Winter 2013;UA;5
DreamHack Winter 2013;RU;4
DreamHack Winter 2013;BE;2
DreamHack Winter 2013;CA;2
DreamHack Winter 2013;NO;2
DreamHack Winter 2013;BA;1
DreamHack Winter 2013;CH;1
DreamHack Winter 2013;KZ;1
DreamHack Winter 2014;DK;15
DreamHack Winter 2014;SE;15
DreamHack Winter 2014;DE;10
DreamHack Winter 2014;PL;10
DreamHack Winter 2014;US;7
DreamHack Winter 2014;UA;6
DreamHack Winter 2014;FR;5
DreamHack Winter 2014;ZA;5
DreamHack Winter 2014;CA;3
DreamHack Winter 2014;RU;3
DreamHack Winter 2014;SK;1
ELEAGUE Major 2017;DK;12
ELEAGUE Major 2017;FR;10
ELEAGUE Major 2017;SE;10
ELEAGUE Major 2017;UA;7
ELEAGUE Major 2017;RU;6
ELEAGUE Major 2017;US;6
ELEAGUE Major 2017;PL;5
ELEAGUE Major 2017;BR;4
ELEAGUE Major 2017;KZ;3
ELEAGUE Major 2017;SK;3
ELEAGUE Major 2017;CA;2
ELEAGUE Major 2017;DE;2
ELEAGUE Major 2017;ES;2
ELEAGUE Major 2017;NO;2
ELEAGUE Major 2017;BA;1
ELEAGUE Major 2017;BE;1
ELEAGUE Major 2017;FI;1
ELEAGUE Major 2017;HU;1
ELEAGUE Major 2017;NL;1
ELEAGUE Major 2017;PT;1
ELEAGUE Major 2018;DK;11
ELEAGUE Major 2018;RU;11
ELEAGUE Major 2018;US;8
ELEAGUE Major 2018;BR;6
ELEAGUE Major 2018;SE;6
ELEAGUE Major 2018;DE;5
ELEAGUE Major 2018;FR;5
ELEAGUE Major 2018;PL;5
